MARKET,BBG,ID_BB_GLOBAL,QT_SPEC,CALENDAR_CODE
EURCLP,EURCLP BGN Curncy,BBG0013HRSM1,2,CL
EURCNY,EURCNY BGN Curncy,BBG0013HRQJ9,4,C%
EURHKD,EURHKD BGN Curncy,BBG0013HR658,4,$H
EURINR,EURINR BGN Curncy,BBG0013HRQ81,4,RB
EURKRW,EURKRW BGN Curncy,BBG0013HRR25,2,K%
EURRON,EURRON BGN Curncy,BBG0013HNM48,4,RO
EURTWD,EURTWD BGN Curncy,BBG0013HRF03,4,T+
GBPBRL,GBPBRL BGN Curncy,BBG0013HQNX1,4,B$
GBPCLP,GBPCLP BGN Curncy,BBG0013HR8V5,4,CL
GBPCNH,GBPCNH BGN Curncy,BBG001F4K7L1,4,C+
GBPCNY,GBPCNY BGN Curncy,BBG0013HRB48,4,C%
GBPCZK,GBPCZK BGN Curncy,BBG0013HP197,4,CZ
GBPEUR,GBPEUR BGN Curncy,BBG0013HQ141,4,TE
GBPHKD,GBPHKD BGN Curncy,BBG0013HMJP3,4,$H
GBPHUF,GBPHUF BGN Curncy,BBG0013HPDC7,3,H$
GBPILS,GBPILS BGN Curncy,BBG0013HQSZ8,4,IX
GBPINR,GBPINR BGN Curncy,BBG0013HJ8N3,4,RB
GBPKRW,GBPKRW BGN Curncy,BBG0013HPRH1,4,K%
GBPMXN,GBPMXN BGN Curncy,BBG0013HR989,4,MX
GBPNOK,GBPNOK BGN Curncy,BBG0013HLWR3,4,NO
GBPNZD,GBPNZD BGN Curncy,BBG0013HM591,4,NZ
GBPPLN,GBPPLN BGN Curncy,BBG0013HNJK7,4,PD
GBPRUB,GBPRUB BGN Curncy,BBG0013HQ5F0,4,R$
GBPSEK,GBPSEK BGN Curncy,BBG0013HMMQ5,4,SW
GBPSGD,GBPSGD BGN Curncy,BBG0013HN395,4,SI
GBPTRY,GBPTRY BGN Curncy,BBG0013HSQS8,4,TU
GBPTWD,GBPTWD BGN Curncy,BBG0013HR569,4,T+
GBPZAR,GBPZAR BGN Curncy,BBG0013HMN10,4,SA
GHSUSD,GHSUSD BGN Curncy,BBG0013J24C8,4,FD
HKDAUD,HKDAUD BGN Curncy,BBG0013HM2D3,4,AU
HKDCAD,HKDCAD BGN Curncy,BBG0013HSXG6,5,CA
HKDEUR,HKDEUR BGN Curncy,BBG0013HT7Q1,4,TE
HKDGBP,HKDGBP BGN Curncy,BBG0013HPMJ0,4,GB
HKDJPY,HKDJPY BGN Curncy,BBG0013HJ979,4,JN
HKDUSD,HKDUSD BGN Curncy,BBG0013HPRT8,5,FD
HUFAUD,HUFAUD BGN Curncy,BBG0013HXB87,4,AU
HUFCAD,HUFCAD BGN Curncy,BBG0013HVBN2,4,CA
HUFEUR,HUFEUR BGN Curncy,BBG0013HQ6Q6,4,TE
HUFGBP,HUFGBP BGN Curncy,BBG0013HPMM6,4,GB
HUFJPY,HUFJPY BGN Curncy,BBG0013HN233,4,JN
HUFUSD,HUFUSD BGN Curncy,BBG0013HSG64,5,FD
IDRUSD,IDRUSD BGN Curncy,BBG0013HSMH9,6,FD
ILSAUD,ILSAUD BGN Curncy,BBG0013HMG97,4,AU
ILSCAD,ILSCAD BGN Curncy,BBG0013HWG87,4,CA
ILSEUR,ILSEUR BGN Curncy,BBG0013HQ1C2,4,TE
ILSGBP,ILSGBP BGN Curncy,BBG0013HHD54,4,GB
ILSJPY,ILSJPY BGN Curncy,BBG0013HWJ45,4,JN
